,Compound,SMILES,Electrical Conductivity (S/m),Electrical Conductivity Error (S/m),Viscosity (Pa*s),Viscosity Error (Pa*s),Density (kg/m^3),Density Error (kg/m^3),Cation SMILES,Anion SMILES,Cation radii using Mordred McGowan volume,Anion radii using Mordred McGowan volume,Cation radii using RDKit DCLV van der Waals volume,Anion radii using RDKit DCLV van der Waals volume,Cation radii using RDKit computeMolVolume,Anion radii using RDKit computeMolVolume,Cation radii using RDKit DCLV van der Waals volume & surface area,Anion radii using RDKit DCLV van der Waals volume & surface area,Cation Family,Longest Alkyl Chain
54,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5812,0.007,0.0343,0.00032,1426.42,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.293663615639253e-10,3.2289218758034285e-10,3.306501329452378e-10,3.33324468040262e-10,2.5420000409105117e-10,2.347774003980073e-10,imidazolium,4
55,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6839,0.008,0.0261,0.0002,1421.66,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2950283506951033e-10,3.2297873902316916e-10,3.3069088853950536e-10,3.3355350593415084e-10,2.5496741116794593e-10,2.3041127615921967e-10,imidazolium,4
56,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7955,0.0092,0.02405,0.00022,1416.91,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.295299112805526e-10,3.2295550025055187e-10,3.3067924510909467e-10,3.338507857608617e-10,2.5447463971114645e-10,2.3068239254755247e-10,imidazolium,4
57,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.921,0.011,0.0205,0.00019,1412.59,0.23,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.294617426373664e-10,3.2291659388367617e-10,3.3060354281739193e-10,3.3343330027395035e-10,2.5497138814407863e-10,2.3058736280573023e-10,imidazolium,4
58,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.075,0.013,0.01764,0.00016,1407.88,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2964808768791543e-10,3.231268902807316e-10,3.3051615091725435e-10,3.3363931410472314e-10,2.5605413110202637e-10,2.2731810554248726e-10,imidazolium,4
59,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.242,0.014,0.01533,0.00014,1403.19,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.296432657729506e-10,3.2276771311500285e-10,3.3045203413975527e-10,3.3361071628567207e-10,2.549916883902948e-10,2.3038100022263416e-10,imidazolium,4
60,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.413,0.016,0.01343,0.00012,1398.42,0.28,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2941716092140445e-10,3.2317272218851155e-10,3.3051032314719787e-10,3.33324468040262e-10,2.5526621008012176e-10,2.3065582989053714e-10,imidazolium,4
61,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.592,0.018,0.01185,0.00011,1393.82,0.28,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.296116767116031e-10,3.2295129710010765e-10,3.3062101565410404e-10,3.3377080097127446e-10,2.542779519938344e-10,2.3070461834390583e-10,imidazolium,4
62,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.784,0.019,0.01053,0.0001,1389.21,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.294957083933909e-10,3.2274221518813867e-10,3.3052197848180376e-10,3.3391360407646284e-10,2.5583278364479845e-10,2.3027521497285047e-10,imidazolium,4
63,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.708,0.068,0.00941,9e-05,1384.59,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.295536549281442e-10,3.2281763319624715e-10,3.3055111322257867e-10,3.3383364938952675e-10,2.5562606640057567e-10,2.34901897421319e-10,imidazolium,4
