,Cation S_5,Longest Alkyl Chain (Cation)
169,0.0232795070102204,4
170,0.0232795070102204,4
171,0.0232795070102204,4
172,0.0232795070102204,4
173,0.0232795070102204,4
174,0.0232795070102204,4
175,0.0232795070102204,4
176,0.0232795070102204,4
177,0.0232795070102204,4
178,0.0232795070102204,4
179,0.0232795070102204,4
180,0.0232795070102204,4
181,0.0232795070102204,4
182,0.0232795070102204,4
183,0.0645238375999118,8
184,0.0645238375999118,8
185,0.0645238375999118,8
186,0.0645238375999118,8
187,0.0645238375999118,8
188,0.0645238375999118,8
189,0.0645238375999118,8
190,0.0645238375999118,8
191,0.0645238375999118,8
192,0.0645238375999118,8
193,0.0645238375999118,8
194,0.0645238375999118,8
195,0.0645238375999118,8
196,0.0645238375999118,8
197,0.0645238375999118,8
198,0.0645238375999118,8
199,0.0117716362320399,2
200,0.0117716362320399,2
201,0.0117716362320399,2
202,0.0117716362320399,2
203,0.0117716362320399,2
204,0.0117716362320399,2
205,0.0117716362320399,2
206,0.0117716362320399,2
207,0.0117716362320399,2
208,0.0117716362320399,2
209,0.0140877168271249,3
210,0.0140877168271249,3
211,0.0140877168271249,3
212,0.0140877168271249,3
213,0.0140877168271249,3
214,0.0140877168271249,3
215,0.0140877168271249,3
216,0.0140877168271249,3
217,0.0140877168271249,3
218,0.0140877168271249,3
219,0.0140877168271249,3
220,0.0140877168271249,3
221,0.0140877168271249,3
222,0.0140877168271249,3
223,0.0140877168271249,3
224,0.0140877168271249,3
225,0.0140877168271249,3
226,0.0140877168271249,3
227,0.0140877168271249,3
228,0.0140877168271249,3
229,0.0140877168271249,3
230,0.0140877168271249,3
231,0.0140877168271249,3
232,0.0140877168271249,3
233,0.0140877168271249,3
234,0.0140877168271249,3
235,0.0140877168271249,3
236,0.0140877168271249,3
237,0.0140877168271249,3
238,0.0140877168271249,3
239,0.0140877168271249,3
240,0.0140877168271249,3
241,0.0140877168271249,3
242,0.0140877168271249,3
243,0.0278056147194438,4
244,0.0278056147194438,4
245,0.0278056147194438,4
246,0.0278056147194438,4
247,0.0278056147194438,4
248,0.0278056147194438,4
249,0.0278056147194438,4
250,0.0278056147194438,4
251,0.0278056147194438,4
252,0.0278056147194438,4
253,0.0278056147194438,4
254,0.0278056147194438,4
255,0.0278056147194438,4
256,0.0278056147194438,4
257,0.0278056147194438,4
258,0.0278056147194438,4
259,0.0278056147194438,4
260,0.0278056147194438,4
261,0.0278056147194438,4
262,0.0278056147194438,4
263,0.0278056147194438,4
264,0.0278056147194438,4
265,0.0278056147194438,4
266,0.0278056147194438,4
267,0.0278056147194438,4
268,0.0278056147194438,4
269,0.0278056147194438,4
270,0.0278056147194438,4
271,0.0645238375999118,8
272,0.0645238375999118,8
273,0.0645238375999118,8
274,0.0645238375999118,8
275,0.0645238375999118,8
276,0.0645238375999118,8
277,0.0645238375999118,8
278,0.0645238375999118,8
279,0.0645238375999118,8
280,0.0645238375999118,8
281,0.0645238375999118,8
282,0.0645238375999118,8
283,0.0645238375999118,8
284,0.0645238375999118,8
285,0.0645238375999118,8
286,0.0645238375999118,8
287,0.0645238375999118,8
288,0.0645238375999118,8
289,0.0645238375999118,8
290,0.0645238375999118,8
291,0.0645238375999118,8
292,0.0645238375999118,8
293,0.0645238375999118,8
294,0.0645238375999118,8
295,0.0645238375999118,8
296,0.0645238375999118,8
297,0.0645238375999118,8
298,0.1008670277098717,12
299,0.0814365579199103,10
300,0.0642580357943851,8
301,0.0235144238815747,4
302,0.0235144238815747,4
303,0.0235144238815747,4
304,0.0235144238815747,4
305,0.0235144238815747,4
306,0.0235144238815747,4
307,0.0235144238815747,4
308,0.0235144238815747,4
309,0.0235144238815747,4
310,0.0235144238815747,4
311,0.0235144238815747,4
312,0.0235144238815747,4
313,0.0235144238815747,4
314,0.0235144238815747,4
315,0.0235144238815747,4
316,0.0235144238815747,4
317,0.0235144238815747,4
318,0.0235144238815747,4
319,0.0235144238815747,4
320,0.0235144238815747,4
321,0.0235144238815747,4
322,0.0238208624015177,4
323,0.0238208624015177,4
324,0.0238208624015177,4
325,0.0238208624015177,4
326,0.0238208624015177,4
327,0.0238208624015177,4
328,0.0238208624015177,4
329,0.0238208624015177,4
330,0.0238208624015177,4
331,0.0238208624015177,4
332,0.0238208624015177,4
333,0.0238208624015177,4
334,0.0238208624015177,4
335,0.0238208624015177,4
336,0.0238208624015177,4
337,0.0238208624015177,4
338,0.0238208624015177,4
339,0.0238208624015177,4
340,0.0238208624015177,4
341,0.0238208624015177,4
342,0.0238208624015177,4
343,0.0238208624015177,4
344,0.0238208624015177,4
345,0.0238208624015177,4
346,0.0052914074038871,2
347,0.0052914074038871,2
